Rating,Comment
negative,"Lost contacts, lost sent items, lost reminders, lost email sorted in categories, lost calendar.  I will probably need to go through my email to figure out my task list. Hope there was a better fix for this."
negative,took over a week to get this set up.
negative,YOU DIDN'T CALL ME BACK!
negative,"Calling me back on time. I had to call in after 4 hours to get a response. Otherwise, the service was friendly and helpful."
negative,"I ended up mapping the shortcuts myself, so I guess if I would have been told earlier on in the process that it needed to be handled on site."
negative,i feel that this Request should have a time to know when IT is available to help coordinate my calendar.
negative,"In the end the issue was resolved and appropriately; however, I suggest proactively asking if a license should be purchased instead of waiting for the client to ask what the status was."
negative,This problem has been ongoing. Would like to have the problem fixed so that we are sure it won't keep happening.
negative,"Tried to download itunes. would not work. I chatted around the office and found a lot of people had the same issue. FYI when download of itunes is complete  click on item "" show file in folder"" , then right click on itunes download and select "" run as administrator""  this will then successfully open and run the wizard for install, which allows phone to connect with itunes.  i thought eddy was very positive and he tried to help, but make a note of this if anyone else is having itunes install and run problems."
positive,... you delivered in the end.
positive,"A very prompt solution to my issue.
 
 Great work."
positive,"Alex was quick to get back to me, and was able to fix it quickly. He is a lifesaver!"
positive,Alex was very helpful and nice to talk to!
positive,Alex was very polite and helpful and resolved the issue for me  quickly. Thank you!
positive,All good - thanks guys.
positive,All good however that brad guy is a bit of a looser. ??
positive,All good now.
positive,"All the technicians I have dealt with have been understanding and pleasant to work with.  They have been able to explain situations in language I am able to understand.
 Thank you very much."
positive,Always a pleasant experience. Efficient as well!
positive,Answered my question and followed up to clarify
positive,Awesome service again! We call you a lot !!! LOL
positive,"awesome, as always!"
positive,Barett did an excellent job creating this dashboard and in a timely manner as well. Thank you Barett!
positive,Because it was completed as requested and quickly...
positive,Called on time and fixed the problem in less than 20 minutes
positive,Challenge understood and solution proposed/implemented - it should address.
positive,Clayton called back promptly and fixed the problem promptly and gave some good follow up advice.
positive,"Clear information, quick response, emailed details."
positive,CLint fixed my issue!
positive,Clint got everything done in a timely manner and has assisted setting up systems so we can onboard more efficiently. Well done Mr. Clint!
positive,Clint took the time to get it right. thanks!
positive,"Clint was awesome! Not only did he fix the sound issue, he was also able to show me some other tricks which will help me optimize my time in the VM and be more efficient. Appreciate it Clint - thank you!"
positive,"Clint was great!  Efficient, personable, explained just enough that I could understand the general issue (which I like to  know), then gave me advice about what to do if it continued.
 
 Always great service from SNS!
 thanks!"
positive,Clint was patient and experienced.
positive,"Clint was so helpful and patient, it took 2 hours but he fixed it! Ususally SNS does not cll back when they said they will, I understand that a problem can take longer to fix with a customer and it's the same thing on our side, when SNS want to reschedule, we need flexibility because the lanned time didn't work. Also, he called me on my cell phone instead of the office number, the whole purpose on having a work laptop is to be able to work outside of the office and it was my case this morning and very very often. The flexibility to reach us on our cell phone makes all the difference. Thank you again Clint, I truly appreciate!"
positive,Clint was super helpful and knowledgeable.  Made sure all my questions were answered before ending the call. Thanks!
positive,"Clint was very helpful and polite, thanks!"
positive,Clint was very helpful and took the time to explain what he was doing to fix the problem.
positive,Clint was very helpful!
positive,Clinton's experience and perseverance got the issue resolved in timely manner.
positive,"Completed and working properly.
 Thanks"
positive,Completed in the same day thank you!
positive,Customer support was really great!
positive,Dave and Kyle were able to quickly work through the back log of tickets needing QA. Thanks Guys!!!
positive,Dealt with right way
positive,Eddie walked me through the solution until we had the problem solved. Thanks Eddie!
positive,Eddie was a great help setting up my phone.
positive,"Eddy listened to the history of the event, and helped unhide / recover the libraries and onedrive setting under C:\users\ron.horjus folder and sub folders.
 Very pleasant!
 ThankS!"
positive,"Eddy was prompt, personable and efficient!"
positive,"Eddy was super responsive and service was incredibly quick!
 
 Thank you!!"
positive,Eddy would not let me go until he corrected the issue for me!
positive,Evan did a great job quickly and got me the access I needed!
positive,Evan Wohland has been fantastic over the past few days. I have bothered him numerous times to help get a new hire all set up and he's been patient and polite with each of my requests time. He is very helpful and saved me quite a few headaches. Thanks Evan!
